Headword,Definition,"Part of Speech","Semantic Group","Frequency Rank"
"ā ab abs","tarafından, -den, -den sonra (+abl.)",Edat,Yer,21
"abeō -īre -iī -itum",ayrılmak,"Fiil: Düzensiz",Hareket,553
"absum abesse āfuī","uzakta olmak, mevcut olmamak","Fiil: Düzensiz",Seyahat,445
ac,"bundan başka, ve hatta, ve; (karşılaştırmalardan sonra) -den; simul ac, olur olmaz; → atque",Bağlaç,"Bağlaç / Zarf",36
"accēdō -cēdere -cessī -cessum",yaklaşmak,"Fiil: 3. Çekim Grubu, -ō bitimli",Hareket,614
"accidō -cidere -cidī","düşmek; zuhur etmek","Fiil: 3. Çekim Grubu, -ō bitimli",Hareket,799
"accipiō -cipere -cēpī -ceptum",almak,"Fiil: 3. Çekim Grubu, -iō bitimli","Sosyal Yaşam",110
"ācer ācris ācre","keskin, şiddetli","Sıfat: 3. Çekim Grubu","Diğer Duyular",587
"aciēs -ēī f.","keskin kenar; savaş düzeni","İsim: 5. Çekim Grubu","Savaş ve Barış",439
ad,"istikametinde, -e, -e doğru, -de (+acc.)",Edat,Yer,14
"addō -dere -didī -ditum",eklemek,"Fiil: 3. Çekim Grubu, -ō bitimli","Sosyal Yaşam",433
"addūcō -ere -dūxī -ductum","götürmek, getirmek, çekmek; teşvik etmek","Fiil: 3. Çekim Grubu, -ō bitimli","Teşvik Edici / Emredici Fiiller",886
"adeō -īre -iī -itum","gitmek, yaklaşmak, girişmek","Fiil: Düzensiz",Hareket,595
adeō,"o derece, öyle",Zarf,"Bağlaç / Zarf",555
"adhibeō -hibēre -hibuī -hibitum",uygulamak,"Fiil: 2. Çekim Grubu","Yapma / Etme",959
adhūc,"bu noktaya kadar, hâlâ",Zarf,Yer,379
"adveniō -īre -vēnī -ventum","varmak, gelmek","Fiil: 4. Çekim Grubu",Seyahat,987
"adversus -a -um","aksi yönde, karşıt, aleyhte","Sıfat: 1. ve 2. Çekim Grubu","Savaş ve Barış",657
"adversus (-um)","(zarf; edat +acc) karşısında, karşı, önünde, aleyhinde",Zarf,"Savaş ve Barış",460
"advertō -vertere -vertī -versum",çevirmek,"Fiil: 3. Çekim Grubu, -ō bitimli",Hareket,986
"aedēs -is f.","yapı; (pl.) ev","İsim: 3. Çekim Grubu","Ev / Hane",965
"aeger aegra aegrum",hasta,"Sıfat: 1. ve 2. Çekim Grubu","Yaşam ve Varlık",810
aegrē,meşakkatle,Zarf,"Yaşam ve Varlık",984
aequē,"eşit derecede",Zarf,Adalet,904
"aequor aequoris n.","düz yüzey; deniz, engebesiz","İsim: 3. Çekim Grubu","Toprak ve Su",424
"aequus -a -um","düz, eşit, elverişli; (neut.) düz alan, ova","Sıfat: 1. ve 2. Çekim Grubu",Adalet,610
"āēr āeris m.",hava,"İsim: 3. Çekim Grubu","Hava ve Ateş",845
"aes aeris n.","bakır, bronz","İsim: 3. Çekim Grubu","İş / Para",744
"aetās -tātis f.","çağ, ömür","İsim: 3. Çekim Grubu","Zamanın Müddetleri",308
"aeternus -a -um","sonsuz, ebedi ve ezeli","Sıfat: 1. ve 2. Çekim Grubu","Zamanın Müddetleri",734
"aethēr aetheris n.","gökyüzü, cennet, hava","İsim: 3. Çekim Grubu","Hava ve Ateş",851
"aevum -i n.","sonsuzluk; yaş, yaşam süresi","İsim: 2. Çekim Grubu","Zamanın Müddetleri",875
"afferō afferre attulī allātum","bir yere taşımak","Fiil: Düzensiz","Getir - Götür Fiilleri",514
"afficiō -ficere -fēcī -fectum","etki etmek, tesir etmek (+ abl.)","Fiil: 3. Çekim Grubu, -iō bitimli","Sosyal Yaşam",958
"ager agrī m.",arazi,"İsim: 2. Çekim Grubu","Hayvanlar / Bitkiler",324
"agitō -āre",gütmek,"Fiil: 1. Çekim Grubu","Teşvik Edici / Emredici Fiiller",578
"āgmen -minis n.","hareket halinde ordu","İsim: 3. Çekim Grubu","Savaş ve Barış",358
"agō agere ēgī āctum","sürmek, işlemek, yerine getirmek","Fiil: 3. Çekim Grubu, -ō bitimli","Teşvik Edici / Emredici Fiiller",69
aiō,"söylemek, doğrulamak, evet demek; ut āiunt: söyledikleri gibi","Fiil: Düzensiz","Konuşma / Retorik",406
"albus -a -um",beyaz,"Sıfat: 1. ve 2. Çekim Grubu","Görü / Görüntü",925
"aliēnus -a -um","yabancı, ecnebi","Sıfat: 1. ve 2. Çekim Grubu",Coğrafya,367
aliquandō,"kimi zaman, en sonunda",Zarf,Zaman,763
"aliquis -quae -quod","bir kimse, bir şey; si quis, si quid: her kim, her ne",Zamir,"Zamir / Soru Zamiri",77
aliter,"başka türlü, başka şekilde",Zarf,"Bağlaç / Zarf",782
"alius -a -ud","diğer, başka; ālias: başka zaman","Sıfat: 1. ve 2. Çekim Grubu","Zamir / Soru Zamiri",37
"alō alere aluī alitum",beslemek,"Fiil: 3. Çekim Grubu, -ō bitimli","Yaşam ve Varlık",817
"alter altera alterum","ikisinden biri","Sıfat: 1. ve 2. Çekim Grubu",Ölçüm,148
"altus -a -um","yüksek, ulvi; derin","Sıfat: 1. ve 2. Çekim Grubu",Coğrafya,159
"amīcitia -ae f.",dostluk,"İsim: 1. Çekim Grubu","Sosyal Yaşam",690
